example_id                                                     | status  | run_time        |
-------------------------------------------------------------- | ------- | --------------- |
./spec/controllers/api/transfers_controller_spec.rb[1:1:1:1:1] | failed  | 0.0027 seconds  |
./spec/controllers/api/transfers_controller_spec.rb[1:1:1:1:2] | failed  | 0.00272 seconds |
./spec/controllers/api/transfers_controller_spec.rb[1:1:1:2:1] | failed  | 0.17062 seconds |
./spec/controllers/api/transfers_controller_spec.rb[1:1:1:2:2] | failed  | 0.00333 seconds |
./spec/controllers/api/transfers_controller_spec.rb[1:1:1:2:3] | failed  | 0.00476 seconds |
./spec/controllers/api/transfers_controller_spec.rb[1:1:1:3:1] | failed  | 0.00259 seconds |
./spec/controllers/api/transfers_controller_spec.rb[1:1:1:3:2] | failed  | 0.0029 seconds  |
./spec/controllers/api/transfers_controller_spec.rb[1:1:1:4:1] | failed  | 0.00272 seconds |
./spec/controllers/api/transfers_controller_spec.rb[1:1:2:1]   | failed  | 0.00295 seconds |
./spec/controllers/api/transfers_controller_spec.rb[1:1:3:1]   | failed  | 0.00254 seconds |
./spec/controllers/api/transfers_controller_spec.rb[1:1:3:2]   | failed  | 0.00259 seconds |
./spec/controllers/api/transfers_controller_spec.rb[1:2:1:1]   | failed  | 0.00352 seconds |
./spec/controllers/api/transfers_controller_spec.rb[1:2:1:2]   | failed  | 0.00273 seconds |
./spec/controllers/api/transfers_controller_spec.rb[1:2:1:3]   | failed  | 0.00232 seconds |
./spec/controllers/api/transfers_controller_spec.rb[1:2:1:4]   | failed  | 0.00296 seconds |
./spec/controllers/api/transfers_controller_spec.rb[1:2:1:5]   | failed  | 0.00251 seconds |
./spec/controllers/api/transfers_controller_spec.rb[1:2:2:1]   | failed  | 0.00245 seconds |
./spec/controllers/api/transfers_controller_spec.rb[1:2:3:1]   | failed  | 0.00242 seconds |
./spec/controllers/api/transfers_controller_spec.rb[1:2:3:2]   | failed  | 0.00253 seconds |
./spec/models/user_spec.rb[1:1:1:1:1]                          | passed  | 0.00169 seconds |
./spec/models/user_spec.rb[1:1:1:1:2]                          | passed  | 0.00146 seconds |
./spec/models/user_spec.rb[1:1:1:1:3]                          | passed  | 0.00159 seconds |
./spec/models/user_spec.rb[1:1:1:1:4]                          | passed  | 0.00149 seconds |
./spec/models/user_spec.rb[1:1:1:1:5]                          | passed  | 0.00149 seconds |
./spec/models/user_spec.rb[1:1:1:2:1]                          | failed  | 0.00166 seconds |
./spec/models/user_spec.rb[1:1:1:2:2]                          | failed  | 0.00161 seconds |
./spec/models/user_spec.rb[1:1:1:2:3]                          | failed  | 0.00167 seconds |
./spec/models/user_spec.rb[1:1:1:2:4]                          | failed  | 0.00175 seconds |
./spec/models/user_spec.rb[1:1:1:2:5]                          | failed  | 0.00166 seconds |
./spec/models/user_spec.rb[1:1:1:3:1]                          | failed  | 0.00164 seconds |
./spec/models/user_spec.rb[1:1:1:3:2]                          | failed  | 0.00164 seconds |
./spec/models/user_spec.rb[1:1:1:3:3]                          | failed  | 0.00169 seconds |
./spec/models/user_spec.rb[1:1:1:3:4]                          | failed  | 0.00154 seconds |
./spec/models/user_spec.rb[1:1:1:3:5]                          | failed  | 0.00174 seconds |
./spec/models/user_spec.rb[1:1:1:4:1]                          | passed  | 0.00234 seconds |
./spec/models/vehicle_spec.rb[1:1:1:1:1]                       | failed  | 0.00612 seconds |
./spec/models/vehicle_spec.rb[1:1:1:1:2]                       | passed  | 0.04977 seconds |
./spec/models/vehicle_spec.rb[1:1:1:1:3]                       | passed  | 0.00357 seconds |
./spec/models/vehicle_spec.rb[1:1:1:2:1]                       | pending | 0 seconds       |
./spec/models/vehicle_spec.rb[1:1:1:2:2]                       | pending | 0.00001 seconds |
